,date,variable,Germany,Israel,Italy,Spain,United Kingdom,United States
0,19-12-2020,Vaccinazioni giornaliere,,,,,,
1,19-12-2020,Vaccinazioni giornaliere ogni cento abitanti,,,,,,
4,20-12-2020,Vaccinazioni giornaliere,,7303.0,,,,
5,20-12-2020,Vaccinazioni giornaliere ogni cento abitanti,,0.0844,,,,
8,21-12-2020,Vaccinazioni giornaliere,,16016.0,,,46706.0,57909.0
9,21-12-2020,Vaccinazioni giornaliere ogni cento abitanti,,0.185,,,0.0688,0.0175
12,22-12-2020,Vaccinazioni giornaliere,,25409.0,,,46706.0,127432.0
13,22-12-2020,Vaccinazioni giornaliere ogni cento abitanti,,0.2936,,,0.0688,0.0385
16,23-12-2020,Vaccinazioni giornaliere,,34449.0,,,46706.0,150606.0
17,23-12-2020,Vaccinazioni giornaliere ogni cento abitanti,,0.398,,,0.0688,0.0455
20,24-12-2020,Vaccinazioni giornaliere,,41960.0,,,46706.0,191001.0
21,24-12-2020,Vaccinazioni giornaliere ogni cento abitanti,,0.4848,,,0.0688,0.0577
24,25-12-2020,Vaccinazioni giornaliere,,41248.0,,,46706.0,215238.0
25,25-12-2020,Vaccinazioni giornaliere ogni cento abitanti,,0.4766,,,0.0688,0.065
28,26-12-2020,Vaccinazioni giornaliere,,39924.0,,,46706.0,231396.0
29,26-12-2020,Vaccinazioni giornaliere ogni cento abitanti,,0.4613,,,0.0688,0.0699
32,27-12-2020,Vaccinazioni giornaliere,,53541.0,,,46706.0,211379.0
33,27-12-2020,Vaccinazioni giornaliere ogni cento abitanti,,0.6186,,,0.0688,0.0639
36,28-12-2020,Vaccinazioni giornaliere,19838.0,68852.0,948.0,,48055.0,216147.0
37,28-12-2020,Vaccinazioni giornaliere ogni cento abitanti,0.0237,0.7955,0.0016,,0.0708,0.0653
40,29-12-2020,Vaccinazioni giornaliere,31608.0,84457.0,927.0,,49404.0,235685.0
41,29-12-2020,Vaccinazioni giornaliere ogni cento abitanti,0.0377,0.9758,0.0015,,0.0728,0.0712
44,30-12-2020,Vaccinazioni giornaliere,40428.0,97022.0,2150.0,,50753.0,255223.0
45,30-12-2020,Vaccinazioni giornaliere ogni cento abitanti,0.0483,1.1209,0.0036,,0.0748,0.0771
48,31-12-2020,Vaccinazioni giornaliere,39949.0,108904.0,7889.0,,52102.0,278776.0
49,31-12-2020,Vaccinazioni giornaliere ogni cento abitanti,0.0477,1.2582,0.013,,0.0767,0.0842
52,01-01-2021,Vaccinazioni giornaliere,36846.0,113574.0,8494.0,,53451.0,302329.0
53,01-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.044,1.3122,0.014,,0.0787,0.0913
56,02-01-2021,Vaccinazioni giornaliere,39244.0,119116.0,13390.0,,54800.0,325882.0
57,02-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.0468,1.3762,0.0221,,0.0807,0.0985
60,03-01-2021,Vaccinazioni giornaliere,37183.0,125259.0,16451.0,,56148.0,336949.0
61,03-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.0444,1.4472,0.0272,,0.0827,0.1018
64,04-01-2021,Vaccinazioni giornaliere,41326.0,126319.0,25968.0,,74419.0,348017.0
65,04-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.0493,1.4594,0.0429,,0.1096,0.1051
68,05-01-2021,Vaccinazioni giornaliere,42498.0,121935.0,37066.0,56505.0,92690.0,339372.0
69,05-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.0507,1.4088,0.0613,0.1209,0.1365,0.1025
72,06-01-2021,Vaccinazioni giornaliere,42312.0,114940.0,45634.0,45248.0,110961.0,358887.0
73,06-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.0505,1.3279,0.0755,0.0968,0.1635,0.1084
76,07-01-2021,Vaccinazioni giornaliere,45106.0,108990.0,55016.0,41496.0,129232.0,378253.0
77,07-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.0538,1.2592,0.091,0.0888,0.1904,0.1143
80,08-01-2021,Vaccinazioni giornaliere,50091.0,108254.0,66884.0,48786.0,147503.0,419933.0
81,08-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.0598,1.2507,0.1106,0.1043,0.2173,0.1269
84,09-01-2021,Vaccinazioni giornaliere,50567.0,104409.0,73734.0,47569.0,165774.0,461263.0
85,09-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.0604,1.2063,0.122,0.1017,0.2442,0.1394
88,10-01-2021,Vaccinazioni giornaliere,51689.0,89713.0,77295.0,46759.0,184045.0,546636.0
89,10-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.0617,1.0365,0.1278,0.1,0.2711,0.1651
92,11-01-2021,Vaccinazioni giornaliere,54115.0,75424.0,79008.0,46180.0,181445.0,632009.0
93,11-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.0646,0.8714,0.1307,0.0988,0.2673,0.1909
96,12-01-2021,Vaccinazioni giornaliere,58289.0,66259.0,79167.0,49826.0,187114.0,641524.0
97,12-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.0696,0.7655,0.1309,0.1066,0.2756,0.1938
100,13-01-2021,Vaccinazioni giornaliere,63791.0,67121.0,83026.0,58330.0,202063.0,710238.0
101,13-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.0761,0.7755,0.1373,0.1248,0.2977,0.2146
104,14-01-2021,Vaccinazioni giornaliere,69785.0,68457.0,82937.0,66980.0,221763.0,747082.0
